word,level,frequency_ranking,pos,pinyin,definitions,source
班长,2,9622,noun,bānzhǎng,class monitor; class president; prefect | squad leader | team leader,kaikki
班主任,5,15965,noun,bānzhǔrèn,teacher in charge of a class; class teacher; homeroom teacher; form master,kaikki
颁布,7,12004,verb,bānbù,to promulgate; to issue; to publish,kaikki
颁发,7,8003,verb,bānfā,"to issue; to promulgate | to award (a certificate, medal, etc.); to confer; to grant",kaikki
颁奖,7,5383,verb,bānjiǎng,"to award; to present (an award, prize, honour, medal, certificate, etc.)",kaikki
斑点,7,13316,noun,bāndiǎn,spot; speck; speckle,kaikki
斑纹,6,45968,noun,bānwén,stripe; streak,kaikki
搬,3,2254,verb,bān,to move (i.e. relocate oneself) | to move (sth relatively heavy or bulky) | to shift | to copy indiscriminately,drkameleon
搬家,3,7790,verb,bānjiā,to move house; to move to a new home | to move; to relocate,kaikki
搬迁,7,14777,verb,bānqiān,to relocate; to move,kaikki
板,3,1759,noun,bǎn | pàn,board | plank | plate | shutter | table tennis bat | clappers (music) | accented beat in Chinese music,drkameleon
板,3,1759,adjective,bǎn | pàn,hard | stiff,drkameleon
板,3,1759,verb,bǎn | pàn,to stop smiling or look serious | to catch sight of in a doorway (old),drkameleon
板块,7,11235,noun,bǎnkuài,tectonic plate; plate | main parts; sector,kaikki
版,5,1545,noun,bǎn,a register | block of printing | edition | version | page,drkameleon
版本,6,4464,noun,bǎnběn,"version; version (specific form or variation of something) | version; version (particular revision of software, firmware, CPU, etc.) | edition (work published by a certain editor or in a certain manner)",kaikki
办,2,691,verb,bàn,to do | to manage | to handle | to go about | to run | to set up | to deal with,drkameleon
办不到,7,1000000,adjective,bàn bu dào,impossible,drkameleon
办不到,7,1000000,idiom,bàn bu dào,can't be done | no can do | unable to accomplish,drkameleon
办不到,7,1000000,verb,bànbùdào,can't do; to be unable to do; impossible to do,kaikki
办法,2,538,noun,bànfǎ,means; solution; way (of doing something),kaikki
办公,6,5310,verb,bàngōng,to handle official business; to work (especially in an office environment) | to defecate; to empty one's bowels,kaikki
办公室,2,1162,noun,bàngōngshì,"office (a room, set of rooms, building, or department used for non-manual work or to provide a particular service)",kaikki
办理,3,6575,verb,bànlǐ,to deal with (a matter); to handle; to transact; to conduct; to process | to undertake; to accept a contract; to host,kaikki
办事,4,4819,verb,bànshì,to do things; to work; to handle affairs; to get something done,kaikki
办事处,6,11821,noun,bànshìchù,"office; agency (of governments, defence forces, organisations, etc.)",kaikki
办学,6,39436,verb,bànxué,to run a school,kaikki
半,1,727,numeral,bàn,half | semi- | incomplete | (after a number) and a half,drkameleon
半边天,7,37858,noun,bànbiāntiān,half the sky | vast area | women (of the new society); womenfolk,kaikki
半场,7,2794,noun,bànchǎng,half-time | halfcourt,kaikki
半岛,7,12843,noun,bàndǎo,peninsula,kaikki
半决赛,6,10520,noun,bànjuésài,semifinal,kaikki
半路,7,15433,noun,bànlù,halfway; midway; on the way | the middle (of doing something),kaikki
半年,1,37795,noun,bànnián,half a year; half-year,kaikki
半数,7,11646,numeral,bàn shù,half the number; half,drkameleon
半数,7,11646,noun,bànshù,half of a number,kaikki
半天,1,7467,noun,bàntiān,half a day | a long time; quite a while; a while; forever,kaikki
半天,1,7467,adverb,bàn tiān,quite a while,drkameleon
半途而废,7,25389,verb,bàn tú ér fèi,to give up halfway (idiom); leave sth unfinished,drkameleon
半途而废,7,25389,idiom,bàntú'érfèi,to give up halfway through a task; to not finish what one has started,kaikki
半信半疑,7,40048,verb,bàn xìn bàn yí,half doubting | dubious | skeptical,drkameleon
半信半疑,7,40048,idiom,bànxìn-bànyí,"half-believing, half-doubting; not quite convinced",kaikki
半夜,2,4212,noun,bànyè,half of the night | midnight; (in general) late at night; deep of the night; the middle of the night,kaikki
半真半假,7,70634,idiom,bànzhēnbànjiǎ,"half true half false, not sincere or truthful, elusive",kaikki
伴,7,3537,noun,bàn,partner; companion; comrade; associate,drkameleon
伴,7,3537,verb,bàn,to accompany,drkameleon
伴侣,7,6851,noun,bànlǚ,companion; mate | spouse; partner | married couple,kaikki
伴随,7,6047,verb,bànsuí,to follow; to accompany,kaikki
伴随,7,6047,preposition,bànsuí,along with; following; in the wake of,kaikki
伴奏,7,13684,verb,bànzòu,to accompany; to play an accompaniment,kaikki
伴奏,7,13684,noun,bànzòu,accompaniment,kaikki
拌,7,9875,verb,bàn,to mix | to mix in | to toss (a salad),drkameleon
扮,7,6738,verb,bàn,to disguise oneself as | to dress up | to play (a role) | to put on (an expression),drkameleon
扮演,5,3471,verb,bànyǎn,to play (a role); to act as,kaikki
帮,1,395,verb,bāng,to help | to assist | to support,drkameleon
帮,1,395,adverb,bāng,for sb (i.e. as a help),drkameleon
帮,1,395,noun,bāng,"hired (as worker) | side (of pail, boat etc) | outer layer | upper (of a shoe) | group | gang | clique | party | secret society",drkameleon
帮忙,1,1860,verb,bāngmáng,to help; to give a hand; to do a favor | to help; to give a hand; to do a favor,kaikki
帮手,7,10534,noun,bāngshǒu,assistant; helper,kaikki
帮手,7,10534,verb,bāngshǒu,to help,kaikki
帮助,2,499,verb,bāngzhù,to help; to aid; to assist,kaikki
绑,7,5003,verb,bǎng,to tie | bind or fasten together | to kidnap,drkameleon
绑架,7,3992,verb,bǎngjià,to kidnap | to take control of; to take over; to hijack; to kidnap,kaikki
榜样,7,6902,noun,bǎngyàng,example; model; role model,kaikki
傍晚,6,9979,noun,bàngwǎn,nightfall; toward evening; dusk,kaikki
棒,5,1228,noun,bàng,stick | club | cudgel | classifier for legs of a relay race,drkameleon
棒,5,1228,adjective,bàng,smart | capable | strong | wonderful,drkameleon
棒球,7,9599,noun,bàngqiú,"baseball (sport common in North America, the Caribbean, and East Asia) | baseball (ball used to play the sport of baseball)",kaikki
