word,level,frequency_ranking,pos,pinyin,definitions
快递,4,7167,noun,kuài dì,express delivery
快活,5,13797,adjective,kuài huo,happy | cheerful
快捷,7,11376,adjective,kuài jié,quick | fast | nimble | agile
快乐,2,637,adjective,kuài lè,happy; joyful
快速,3,2309,adjective,kuài sù,fast; high-speed; rapid
快要,2,5135,adverb,kuài yào,nearly at the point of (doing sth); about to (do sth)
筷子,2,10486,noun,kuài zi,chopsticks
宽,4,3471,adjective,kuān,wide | broad | loose | relaxed | lenient
宽敞,7,12046,adjective,kuān chang,spacious | wide
宽度,5,17535,noun,kuān dù,width
宽泛,7,32491,adjective,kuān fàn,wide-ranging
宽广,4,17575,adjective,kuān guǎng,wide | broad | extensive | vast
宽厚,7,28840,adjective,kuān hòu,tolerant | generous | magnanimous | thick and broad (build)
宽阔,6,18637,adjective,kuān kuò,expansive | wide
宽容,7,6868,adjective,kuān róng,lenient | tolerant
宽恕,7,12980,verb,kuān shù,to forgive
宽松,7,11259,adjective,kuān sōng,spacious; roomy; uncrowded | (of clothes) loose and comfortable | relaxed; free of worry | well-off; affluent
款待,6,18024,verb,kuǎn dài,to entertain | to be hospitable to
款式,7,8984,noun,kuǎn shì | kuǎn shi,pattern | style | design | elegance | good taste
款项,7,14109,noun,kuǎn xiàng,funds | a sum of money
框,7,9131,noun,kuàng,frame (e.g. door frame) | casing | fig. framework | template
框架,7,13045,noun,kuàng jià,(construction) frame | (fig.) framework
筐,7,17034,noun,kuāng,basket
狂,5,2107,adjective,kuáng,mad | violent
狂欢,7,5805,noun,kuáng huān,party | carousal | hilarity | merriment | whoopee
狂欢节,7,13356,noun,kuáng huān jié,carnival
狂热,7,8734,noun,kuáng rè,zealotry | fanatical | feverish
况且,7,9029,adverb,kuàng qiě,moreover | in addition | furthermore
旷课,7,32748,verb,kuàng kè,to play truant | to cut classes
矿,6,5935,noun,kuàng,mineral deposit; ore deposit | ore | a mine
矿藏,7,37530,noun,kuàng cáng,mineral resources
矿泉水,4,13110,noun,kuàng quán shuǐ,mineral water
亏,5,8080,noun,kuī,deficiency | deficit
亏本,7,26758,verb,kuī běn,to make a loss
亏待,6,28145,verb,kuī dài,to treat sb unfairly
亏损,7,14787,noun,kuī sǔn,deficit | (financial) loss
昆虫,7,11860,noun,kūn chóng,insect
捆,7,9246,noun,kǔn,a bunch | bundle
捆绑,6,13111,verb,kǔn bǎng,to bind
困,3,1868,verb,kùn,to trap | to surround
困惑,7,6007,adjective,kùn huò,bewildered | perplexed | confused
困境,7,5345,noun,kùn jìng,predicament; plight
困难,3,1141,adjective,kùn nan,difficult
困扰,5,4725,verb,kùn rǎo,to perplex | to disturb | to cause complications
扩,7,13470,verb,kuò,to enlarge
扩充,6,21367,verb,kuò chōng,to expand
扩大,4,3635,verb,kuò dà,to expand | to enlarge | to broaden one's scope
扩建,7,19417,verb,kuò jiàn,"to extend (a building, an airport runway etc)"
扩散,7,5579,verb,kuò sàn,to spread; to proliferate; to diffuse
扩展,4,9082,verb,kuò zhǎn,to extend | to expand
扩张,7,6918,noun,kuò zhāng,expansion | dilation
括号,4,31869,noun,kuò hào,parentheses | brackets
括弧,7,91958,noun,kuò hú,parenthesis
阔,6,12727,adjective,kuò,rich | wide | broad
阔绰,7,42113,adjective,kuò chuò,ostentatious | extravagant | liberal with money
垃圾,4,1777,noun,lā jī,trash | garbage | (coll.) of poor quality
垃圾桶,4,11938,noun,lā jī tǒng,rubbish bin | trash can | garbage can
拉,2,484,verb,lā,to pull | to play (a bowed instrument) | to drag | to draw | to chat
拉动,7,29495,verb,lā dòng,to pull | to motivate (people to do sth)
拉开,4,5347,verb,lā kāi,to pull open | to pull apart | to space out | to increase
拉拢,7,18605,verb,lā lǒng,to rope in | to entice
拉锁,7,55103,noun,lā suǒ,zipper
喇叭,7,9211,noun,lǎ ba,horn (automobile etc) | loudspeaker | brass wind instrument | trumpet | suona 锁呐
腊月,7,57468,noun,Là yuè,twelfth lunar month
蜡,7,12778,noun,là,candle | wax
蜡烛,7,7877,noun,là zhú,candle
辣,4,2791,adjective,là,hot (spicy) | pungent
辣椒,7,6501,noun,là jiāo,hot pepper | chili
啦,6,246,noun,lā | la,"(onom.) sound of singing, cheering etc | (phonetic) | (dialect) to chat | particle placed after each item in a list of examples"
啦啦队,7,3808,noun,lā lā duì,cheerleading squad
来,1,31,verb,lái,to come
来宾,7,11016,noun,lái bīn,guest | visitor
来不及,4,5768,idiom,lái bu jí,there's not enough time (to do sth) | it's too late (to do sth)
来到,1,943,verb,lái dào,to arrive; to come
来得及,4,6981,idiom,lái de jí,to have enough time; can do it in time; can still make it
来电,7,6283,noun,lái diàn,incoming telephone call (or telegram)
来访,7,8891,verb,lái fǎng,to pay a visit
来回,7,7107,verb,lái huí,to make a round trip | back and forth | to and fro
来历,7,14129,noun,lái lì,history | antecedents | origin
来临,7,4633,verb,lái lín,to approach; to come closer
来龙去脉,7,22644,noun,lái lóng qù mài,the rise and fall of the terrain (idiom) | (fig.) the whole sequence of events | causes and effects
来年,7,22086,noun,lái nián,next year | the coming year
来往,6,8734,verb,lái wǎng,to come and go | to have dealings with | to be in relation with
来信,5,6973,noun,lái xìn,incoming letter
来源,4,2383,noun,lái yuán,source (of information etc) | origin
来源于,7,11195,verb,lái yuán yú,to originate in
来自,2,644,verb,lái zì,to come from (a place)
赖,6,5777,verb,lài,to depend on | to hang on in a place | to renege (on promise) | to disclaim | to rat (on debts) | to blame | to put the blame on
拦,7,5693,verb,lán,to block sb's path | to obstruct | to flag down (a taxi)
栏,7,7178,noun,lán,fence | railing | hurdle | column or box (of text or other data)
栏杆,7,13569,noun,lán gān,railing | banister
栏目,6,12813,noun,lán mù,regular column or segment (in a publication or broadcast program) | program (TV or radio)
蓝,2,1615,noun,lán,blue | indigo plant
蓝领,6,30180,adjective,lán lǐng,blue-collar
蓝色,2,2892,noun,lán sè,blue (color)
蓝天,6,11048,noun,lán tiān,blue sky
蓝图,7,13313,noun,lán tú,blueprint
篮球,2,3596,noun,lán qiú,basketball
揽,7,12258,verb,lǎn,to monopolize; to seize | to take into one's arms; to embrace | to fasten (with a rope etc) | to take on (responsibility etc); to canvass
缆车,7,26207,noun,lǎn chē,cable car
懒,6,6238,adjective,lǎn,lazy
懒得,7,8500,idiom,lǎn dé,not to feel like (doing sth); disinclined to
懒惰,7,13267,adjective,lǎn duò,idle | lazy
烂,5,2387,adjective,làn,soft; mushy | well-cooked and soft | rotten | worn out | chaotic; messy | utterly; thoroughly | crappy; bad
滥用,7,8841,verb,làn yòng,to misuse | to abuse
狼,7,2421,noun,láng,wolf
狼狈,7,16266,adjective,láng bèi,in a difficult situation
朗读,5,18517,verb,lǎng dú,to read aloud
朗诵,7,18524,verb,lǎng sòng,to read aloud with expression | to recite | to declaim
浪,7,4269,noun,làng,wave | breaker
浪费,3,1924,verb,làng fèi,to waste | to squander
浪漫,5,2439,adjective,làng màn,romantic
捞,7,5566,verb,lāo,to fish up | to dredge up
劳动,5,4748,noun,láo dòng,work | toil | physical labor
劳动力,7,12496,noun,láo dòng lì,labor force | manpower
劳驾,5,37933,pronoun,láo jià,excuse me
劳累,7,15272,adjective,láo lèi,tired | exhausted | worn out
劳务,7,20517,noun,láo wù,"service (work done for money) | services (as in ""goods and services"")"
牢,6,6012,adjective,láo,firm | sturdy
牢固,7,11270,adjective,láo gù,firm | secure
牢记,7,12490,verb,láo jì,to keep in mind | to remember
牢牢,7,9553,noun,láo láo,firmly | safely
牢骚,6,19777,noun,láo sāo,discontent | complaint
唠叨,7,10247,verb,láo dao,to prattle | to chatter away | to nag
老,1,266,noun,lǎo,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity | old (of people) | venerable (person) | (of meat etc) tough
老百姓,3,7618,noun,lǎo bǎi xìng,"ordinary people | the ""person in the street"""
老板,3,1185,noun,lǎo bǎn,boss | business proprietor
老大,7,3298,noun,lǎo dà,old age | eldest child in a family | leader of a group | boss | captain of a boat | leader of a criminal gang
老公,4,2319,noun,lǎo gōng | lǎo gong,(coll.) husband | (coll.) eunuch
老汉,7,26984,noun,lǎo hàn,old man | I (an old man referring to himself)
老虎,4,5451,noun,lǎo hǔ,tiger
老化,7,12970,noun,lǎo huà,"(of a person, population or material) to age"
老家,4,6410,noun,lǎo jiā,native place | place of origin | home state or region
老年,2,8396,noun,lǎo nián,elderly | old age | autumn of one's years
老朋友,2,7500,noun,lǎo péng you,old friend | (slang) period | menstruation
老婆,4,1565,noun,lǎo pó,(coll.) wife
老人,1,2395,noun,lǎo rén,old man or woman | the elderly | one's aged parents or grandparents
老人家,7,8629,noun,lǎo rén jiā,polite term for old woman or man
老师,1,799,noun,lǎo shī,teacher
老实,4,5167,adjective,lǎo shi,honest; sincere | well-behaved | naive; gullible
老实说,7,22207,idiom,lǎo shí shuō,"honestly speaking; to be frank, ..."
老是,2,5562,adverb,lǎo shi,always
老鼠,5,4016,noun,lǎo shǔ,rat | mouse
老太太,3,7407,noun,lǎo tài tai,elderly lady (respectful) | esteemed mother
老乡,6,14936,noun,lǎo xiāng,fellow townsman; fellow villager; sb from the same hometown
老远,7,12250,adjective,lǎo yuǎn,very far away
老字号,7,30827,noun,lǎo zì hào,"shop, firm, or brand of merchandise with a long-established reputation"
姥姥,7,12173,noun,lǎo lao,(coll.) mother's mother | maternal grandmother
姥爷,7,27327,noun,lǎo ye,maternal grandfather (dialectal)
潦草,7,48109,adjective,liáo cǎo,slipshod; careless; slovenly | (of handwriting) scrawly; illegible
涝,7,53537,noun,lào,flooded
乐,3,1572,adjective,lè | yuè,happy | cheerful
乐队,3,3860,noun,yuè duì,band | pop group
乐观,3,4002,adjective,lè guān,optimistic | hopeful
乐谱,6,27699,noun,yuè pǔ,a musical score | sheet music
乐器,7,9468,noun,yuè qì,musical instrument
乐曲,6,16970,noun,yuè qǔ,musical composition
乐趣,4,4402,idiom,lè qù,delight; pleasure; joy
乐意,7,6221,verb,lè yì,to be willing to do sth | to be ready to do sth | to be happy to do sth
乐园,7,6591,noun,lè yuán,paradise
了,1,3,noun,liǎo | liào | le,"(completed action marker) | (modal particle indicating change of state, situation now) | (modal particle intensifying preceding clause) | clear-sighted"
了不起,4,5874,adjective,liǎo bu qǐ,amazing | terrific | extraordinary
了结,7,10105,verb,liǎo jié,to settle | to finish | to conclude | to wind up
了解,4,336,verb,liǎo jiě,to understand | to realize | to find out | to understand | to realize | to find out
了却,7,29733,verb,liǎo què,to resolve | to settle
勒,7,2605,verb,lēi | lè,to rein in | to compel | to force | to carve | to engrave | to lead | to strap tightly | to bind
雷,5,1494,noun,léi,"thunder | (bound form) (military) mine, as in 雷 land mine"
雷达,6,7037,noun,léi dá,radar (loanword)
雷同,7,27498,noun,léi tóng,mirroring others
泪,4,5719,noun,lèi,tears
泪水,4,7812,noun,lèi shuǐ,teardrop | tears
类,3,1096,noun,lèi,kind | type | class | category
类别,7,16163,noun,lèi bié,classification | category
类似,3,2276,adjective,lèi sì,similar
类型,4,2598,noun,lèi xíng,type; kind; category | (computer programming) type
累,1,1197,verb,léi | lèi | lěi,to accumulate | to involve or implicate | to strain | to wear out | to work hard | to bind together | to twist around
累积,7,13573,verb,lěi jī,to accumulate
累计,7,17303,verb,lěi jì,to calculate the running total
棱角,7,24425,noun,léng jiǎo,edge and corner | protrusion | sharpness (of a protrusion) | ridge corner
冷,1,1027,adjective,lěng,cold
冷淡,7,12345,adjective,lěng dàn,cold | indifferent
冷冻,7,9324,verb,lěng dòng,to freeze | to deep-freeze
冷静,4,2908,adjective,lěng jìng,calm; cool-headed; dispassionate | (of a place) deserted; quiet
冷酷,7,11816,noun,lěng kù,unfeeling; callous
冷酷无情,7,49756,noun,lěng kù wú qíng,cold-hearted; unfeeling; callous
冷落,7,16953,adjective,lěng luò,desolate
冷门,7,20016,noun,lěng mén,"a neglected branch (of arts, science, sports etc) | fig. a complete unknown who wins a competition"
冷漠,7,7750,adjective,lěng mò,cold and detached towards sb
冷却,6,9960,idiom,lěng què,to cool (lit. and fig.)
冷水,6,12054,noun,lěng shuǐ,cold water | unboiled water
冷笑,7,12056,verb,lěng xiào,to sneer | to laugh grimly
冷战,7,10942,noun,lěng zhàn | lěng zhan,cold war | (fig.) strained relationship | (coll.) shiver | shudder
愣,7,11493,verb,lèng,to look distracted | to stare blankly
厘米,4,23825,noun,lí mǐ,centimeter
离,2,912,noun,lí | chī,"mythical beast (archaic) | independent of | one of the Eight Trigrams 卦, symbolizing fire | ☲"
离不开,4,8817,adjective,lí bu kāi,inseparable
离婚,3,2723,verb,lí hūn,to divorce
离开,2,557,verb,lí kāi,to depart; to leave
离谱儿,7,1000000,noun,lí pǔr5,Scientific
离奇,7,13073,adjective,lí qí,odd; bizarre
离职,7,12191,verb,lí zhí,to leave one's job temporarily (e.g. for study) | to leave one's job; to resign
梨,5,7831,noun,lí,pear
黎明,7,8587,noun,lí míng,dawn; daybreak
礼,5,2414,noun,lǐ,gift | rite | ceremony | propriety | etiquette | courtesy
礼拜,5,6737,verb,lǐ bài,to attend a religious service
礼拜天,5,31517,noun,Lǐ bài tiān,Sunday
礼服,7,7383,noun,lǐ fú,"ceremonial robe | formal attire (dinner suit, evening gown etc)"
礼节,6,19082,noun,lǐ jié,etiquette
礼貌,5,6337,noun,lǐ mào,courtesy; politeness; manners
礼品,7,9790,noun,lǐ pǐn,gift
礼堂,6,15531,noun,lǐ táng,assembly hall | auditorium
礼物,2,1673,noun,lǐ wù,gift; present
礼仪,7,10234,noun,lǐ yí,etiquette | ceremony
里,1,75,noun,lǐ,"lining | interior | inside | internal | li, ancient measure of length, approx. 500 m | neighborhood | ancient administrative unit of 25 families"
里边,1,10810,noun,lǐ bian,inside
里程碑,7,16826,noun,lǐ chéng bēi,milestone
里面,3,648,noun,lǐ miàn,inside | interior
里头,2,9692,noun,lǐ tou,inside | interior
理,6,1714,noun,lǐ,texture | grain (of wood) | inner essence | intrinsic order | reason | logic | truth | science | natural science (esp. physics)
理财,6,9621,verb,lǐ cái,to manage wealth; to manage finances; money management
理睬,7,16350,verb,lǐ cǎi,to heed | to pay attention to
理发,3,13406,verb,lǐ fà,to get a haircut; to have one's hair done | to cut (sb's) hair; to give (sb) a haircut
理会,7,9075,verb,lǐ huì,to understand | to pay attention to | to take notice of
理解,3,884,verb,lǐ jiě,to comprehend; to understand
理科,7,16024,noun,lǐ kē,the sciences (as opposed to the humanities 科)
理论,3,1462,noun,lǐ lùn,theory
理念,7,4867,noun,lǐ niàn,idea | concept | philosophy | theory
理事,7,19238,noun,lǐ shì,member of council | (literary) to take care of matters
理所当然,7,10068,idiom,lǐ suǒ dāng rán,as it should be by rights (idiom); proper and to be expected as a matter of course
理想,2,2661,noun,lǐ xiǎng,an ideal | a dream | ideal | perfect
理性,7,5194,noun,lǐ xìng,reason | rationality
理由,3,1280,noun,lǐ yóu,reason | grounds | justification
理直气壮,7,37289,idiom,lǐ zhí qì zhuàng,in the right and self-confident (idiom); bold and confident with justice on one's side | just and forceful
理智,6,5215,noun,lǐ zhì,reason | intellect | rationality
力,3,851,noun,lì,power | force | strength | ability | strenuously
力不从心,7,21629,idiom,lì bù cóng xīn,less capable than desirable (idiom); not as strong as one would wish | the spirit is willing but the flesh is weak
力度,7,7129,noun,lì dù,strength | vigor | efforts | (music) dynamics
力量,3,900,noun,lì liang,power | force | strength
力气,4,5156,noun,lì qi,strength
力求,7,15855,verb,lì qiú,to make every effort to
力所能及,7,18286,idiom,lì suǒ néng jí,as far as one's capabilities extend (idiom); to the best of one's ability
力图,6,21610,verb,lì tú,to try hard to | to strive to
力争,7,16137,verb,lì zhēng,to work hard for | to contend strongly
历程,7,10170,noun,lì chéng,course | process
历代,6,26680,noun,lì dài,successive generations | successive dynasties | past dynasties
历届,7,32173,noun,lì jiè,"all previous (meetings, sessions etc)"
历经,7,12690,verb,lì jīng,to experience; to go through
历来,7,17374,adverb,lì lái,always
历时,7,18847,verb,lì shí,to last | to take (time)
历史,4,882,noun,lì shǐ,history
厉害,5,1925,adjective,lì hai,intense | severe | devastating | amazing | awesome | outstanding | (of a person) stern | strict | harsh | shrewd | tough | (of an animal) fierce | (of a resemblance) striking | (of liquor or chili pepper) strong | (of bacteria) virulent
立,5,2622,verb,lì,to stand | to set up | to establish | to lay down | to draw up
立场,5,4265,noun,lì chǎng,position | standpoint
立方,7,22390,noun,lì fāng,cube (math.)
立方米,7,35946,noun,lì fāng mǐ,cubic meter (unit of volume)
立功,7,25337,verb,lì gōng,to render meritorious service (one the three imperishables 朽) | to make worthy contributions | to distinguish oneself
立即,4,1862,adverb,lì jí,immediately
立交桥,7,22789,noun,lì jiāo qiáo,overpass | flyover
立刻,3,1875,noun,lì kè,forthwith | immediate | prompt | straightway | thereupon
立体,7,10567,adjective,lì tǐ,three-dimensional | solid
立足,7,14630,verb,lì zú,to stand | to have a footing | to be established | to base oneself on
利,6,1239,adjective,lì,sharp
利害,7,20755,noun,lì hài | lì hai,pros and cons | advantages and disadvantages | gains and losses
利率,7,10983,noun,lì lu:4,interest rates
利润,5,3776,noun,lì rùn,profits
利索,7,21085,adjective,lì suo,nimble
利息,4,6487,noun,lì xī,interest (on a loan)
利益,4,2117,noun,lì yì,benefit | (in sb's) interest
利用,3,766,verb,lì yòng,to exploit | to make use of | to use | to take advantage of | to utilize
励志,7,28471,idiom,lì zhì,to pursue a goal with determination
例如,2,3486,adverb,lì rú,for example; for instance; such as
例外,5,5594,noun,lì wài,exception
例子,2,5034,noun,lì zi,case | example
粒,7,4781,noun,lì,"grain | granule | classifier for small round things (peas, bullets, peanuts, pills, grains etc)"
俩,4,1419,noun,liǎng | liǎ,two (colloquial equivalent of 两个) | both | some
连,3,406,verb,lián,to link | to join | to connect
连滚带爬,7,59075,noun,lián gǔn dài pá,rolling and crawling
连接,5,3426,verb,lián jiē,to link; to join; to connect
连忙,3,50741,adverb,lián máng,promptly | at once
连绵,7,27852,adjective,lián mián,continuous
连年,6,34385,noun,lián nián,successive years
连任,7,16220,verb,lián rèn,to continue in (a political) office | to serve for another term of office
连锁,7,7545,verb,lián suǒ,to interlock | to be linked
连锁店,7,13645,noun,lián suǒ diàn,chain store
连同,6,13615,adverb,lián tóng,together with | along with
连续,3,2315,adjective,lián xù,continuous | serial
连续剧,3,14541,noun,lián xù jù,serialized drama | dramatic series | show in parts
连夜,7,16020,pronoun,lián yè,that very night
帘子,7,28809,noun,lián zi,curtain
怜惜,7,33311,verb,lián xī,to take pity on | to feel tenderness toward
莲子,7,20235,noun,lián zǐ,lotus seed
联邦,7,3574,noun,lián bāng,federal | federation | commonwealth | federal union | federal state | union
联合,3,2190,verb,lián hé,to combine | to join
联合国,3,4037,noun,Lián hé guó,United Nations
联欢,7,35542,verb,lián huān,to have a get-together
联络,5,4467,verb,lián luò,to get in touch with | to contact | to stay in contact (with)
联盟,6,2339,noun,lián méng,alliance | union | coalition
联赛,6,4691,noun,lián sài,(sports) league | league tournament
联手,6,8516,adverb,lián shǒu,lit. to join hands
联网,7,16288,verb,lián wǎng,to connect (or be connected) to a network; to network
联系,3,667,noun,lián xì,connection | contact | relation
联想,5,6895,verb,lián xiǎng,to associate (cognitively) | to make an associative connection
廉价,7,7559,noun,lián jià,cheaply-priced
廉洁,7,28006,adjective,lián jié,incorruptible; unbribable; honest
廉正,7,379791,adjective,lián zhèng,upright and honest
廉政,7,43699,verb,lián zhèng,to govern with integrity
脸,2,629,noun,liǎn,face
脸颊,7,12415,noun,liǎn jiá,cheek
脸盆,5,41495,noun,liǎn pén,washbowl | basin for washing hands and face
脸色,5,4977,noun,liǎn sè,complexion | look
练,2,2255,verb,liàn,to practice | to train | to drill | to perfect (one's skill) | to boil and scour raw silk
练习,2,3084,verb,liàn xí,to practice
炼,7,10362,verb,liàn,to refine | to smelt
恋爱,5,2496,noun,liàn ài,(romantic) love | in love
恋恋不舍,7,41381,adjective,liàn liàn bù shě,reluctant to part
良,7,8310,adjective,liáng,good | very | very much
良好,4,2227,adjective,liáng hǎo,good | well | fine
良心,7,6526,noun,liáng xīn,conscience
良性,7,15034,adjective,liáng xìng,positive (in its effect) | leading to good consequences | virtuous
凉,2,4088,adjective,liáng | liàng,cool | cold
凉快,2,19483,adjective,liáng kuai,nice and cold | pleasantly cool
凉爽,7,18060,adjective,liáng shuǎng,cool and refreshing
凉水,3,25250,noun,liáng shuǐ,cool water | unboiled water
凉鞋,6,20869,noun,liáng xié,sandal
粮食,4,6379,noun,liáng shi,foodstuff | cereals
两,1,81,noun,liǎng,"two | both | some | a few | tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤 (old)"
两岸,5,22338,noun,liǎng àn,bilateral | both shores | both sides | both coasts
两边,4,7213,noun,liǎng bian,either side | both sides
两侧,6,16912,noun,liǎng cè,two sides | both sides
两口子,7,26774,noun,liǎng kǒu zi,husband and wife
两栖,7,28797,noun,liǎng qī,amphibious | dual-talented
两手,6,28543,verb,liǎng shǒu,one's two hands
亮,2,1691,adjective,liàng,bright | clear | resonant
亮点,7,10869,noun,liàng diǎn,highlight | bright spot
亮丽,7,18974,adjective,liàng lì,bright and beautiful
亮相,7,8499,verb,liàng xiàng,"to strike a pose (Chinese opera) | to come out in public (revealing one's true personality, opinions etc)"
谅解,7,11864,verb,liàng jiě,to understand | to make allowances for
辆,2,699,noun,liàng,classifier for vehicles
晾,6,14630,verb,liàng,to dry in the air
量,4,2147,verb,liáng | liàng,to measure | to estimate
辽阔,7,25015,adjective,liáo kuò,vast; extensive
疗法,7,6021,noun,liáo fǎ,therapy | treatment
疗效,7,13362,noun,liáo xiào,healing efficacy; healing effect
疗养,4,20874,verb,liáo yǎng,to get well | to heal | to recuperate | to convalesce | to nurse
聊,6,2302,verb,liáo,to chat | to depend upon (literary)
聊天,4,2609,verb,liáo tiān,to chat | to gossip
寥寥无几,7,30527,idiom,liáo liáo wú jǐ,just a very few (idiom); tiny number | You count them on your fingers.
料,6,2626,noun,liào,material | stuff | grain | feed
料到,7,9583,verb,liào dào,to foresee | to anticipate
料理,7,9786,verb,liào lǐ,to arrange | to handle | to cook
列,4,2209,verb,liè,to arrange | to line up
列车,4,4242,noun,liè chē,(railway) train
列举,7,18380,noun,liè jǔ,a list
列入,4,8323,verb,liè rù,to include on a list
列为,4,8850,verb,liè wéi,to be classified as
劣势,7,13022,adjective,liè shì,inferior
劣质,7,14224,adjective,liè zhì,shoddy; of poor quality
烈士,7,11928,noun,liè shì,martyr
猎犬,7,25647,noun,liè quǎn,hound | hunting dog
猎人,7,9488,noun,liè rén,hunter
裂,6,6953,verb,liè,to split | to crack | to break open | to rend
裂缝,7,8135,noun,liè fèng,crack | crevice
裂痕,7,17741,noun,liè hén,crack | gap | split
咧嘴,7,1000000,verb,liě zuǐ,to grin
拎,7,11124,verb,līn,to lift up; to carry in one's hand
邻国,7,23913,noun,lín guó,bordering country | neighbor country | neighboring countries | surrounding countries
邻居,5,3360,noun,lín jū,neighbor | next door
临,7,6091,verb,lín,to face | to overlook | to arrive | to be (just) about to
临床,7,4243,noun,lín chuáng,clinical
临街,7,39431,noun,lín jiē,facing the street
临近,7,9411,adjective,lín jìn,close to | approaching
临时,4,3015,idiom,lín shí,as the time draws near
淋,7,7448,verb,lìn | lín,to sprinkle | to drip | to pour | to drench | to filter | to strain | to drain
吝啬,6,16240,adjective,lìn sè,stingy; mean; miserly
灵,7,2026,adjective,líng,quick | effective
灵感,7,4591,noun,líng gǎn,inspiration | insight | a burst of creativity in scientific or artistic endeavor
灵魂,7,2579,noun,líng hún,soul | spirit
灵活,6,6491,adjective,líng huó,flexible | nimble | agile
灵机一动,7,32503,idiom,líng jī yī dòng,a bright idea suddenly occurs (idiom); to hit upon an inspiration | to be struck by a brainwave
灵敏,7,13980,adjective,líng mǐn,smart | clever | sensitive | keen | quick | sharp
灵巧,7,21037,noun,líng qiǎo,deft | ingenious
灵通,7,15005,noun,líng tōng,fast and abundant (news)
凌晨,7,2595,adverb,líng chén,very early in the morning
铃,5,6132,noun,líng,(small) bell
铃声,5,7216,noun,líng shēng,ring | ringtone | bell stroke | tintinnabulation
零,1,3623,noun,líng,zero | nought | zero sign | fractional | (placed between two numbers to indicate a smaller quantity followed by a larger one) | fraction | (in mathematics) remainder (after division) | extra
零花钱,7,19487,noun,líng huā qián,pocket money | allowance
零件,7,8400,noun,líng jiàn,part | component
零钱,7,13354,noun,líng qián,change (of money) | small change | pocket money
零食,4,8964,noun,líng shí,between-meal nibbles | snacks
零售,7,9935,verb,líng shòu,to retail | to sell individually or in small quantities
零下,2,14498,noun,líng xià,below zero
零星,6,21996,adjective,líng xīng,fragmentary | random
领,3,2044,noun,lǐng,"neck | collar | classifier for clothes, mats, screens etc"
领带,5,9352,noun,lǐng dài,necktie
领导,3,1433,noun,lǐng dǎo,lead | leading | leadership | leader
领队,7,11559,verb,lǐng duì,to lead a group
领略,7,16941,verb,lǐng lu:è,to have a taste of | to realize | to appreciate
领会,7,12532,verb,lǐng huì,to understand | to comprehend | to grasp
领军,7,1000000,verb,lǐng jūn,to lead troups
领取,6,10119,verb,lǐng qǔ,to receive; to draw; to get
领事,7,20219,noun,lǐng shì,consul
领事馆,7,23364,noun,lǐng shì guǎn,consulate
领土,7,8618,noun,lǐng tǔ,territory
领悟,7,12096,verb,lǐng wù,to understand | to comprehend
领先,3,2791,verb,lǐng xiān,to lead | to be in front
领袖,6,3957,noun,lǐng xiù,leader
领养,7,10747,verb,lǐng yǎng,to adopt (a child); adoption
领域,7,2459,noun,lǐng yù,domain | sphere | field | territory | area
令,5,776,noun,líng | lìng | lǐng,classifier for a ream of paper | an order | warrant | writ | honorific title | season | government position (old) | type of short song or poem
另,6,541,noun,lìng,other | another | separate | separately
另外,3,725,noun,lìng wài,additional | besides | separate | other
另一方面,3,4851,noun,lìng yī fāng miàn,on the other hand | another aspect
伶俐,6,31514,adjective,líng lì,clever | witty | intelligent
溜,7,5659,verb,liū | liù,to slip away | to escape in stealth | to skate
溜达,7,16564,verb,liū da,to stroll | to go for a walk
浏览,7,7707,verb,liú lǎn,to skim over | to browse
浏览器,7,28853,noun,liú lǎn qì,browser (software)
流,2,1337,verb,liú,to flow | to disseminate | to circulate or spread | to move or drift | to degenerate | to banish or send into exile
流畅,7,9270,adjective,liú chàng,"flowing (of speech, writing) | fluent | smooth and easy"
流程,7,8987,noun,liú chéng,course | stream | sequence of processes | work flow in manufacturing
流传,4,7952,verb,liú chuán,to spread | to circulate | to hand down
流动,5,5689,verb,liú dòng,to flow | to circulate | to go from place to place | to be mobile
流感,6,5632,noun,liú gǎn,flu; influenza
流浪,7,6517,verb,liú làng,to drift about | to wander | to roam
流泪,7,7253,verb,liú lèi,to shed tears
流利,2,17449,adjective,liú lì,fluent
流量,7,12321,noun,liú liàng,flow rate; throughput of passengers; volume of traffic | (hydrology) discharge | data traffic; network traffic; website traffic; mobile data
流露,7,12368,verb,liú lù,"to reveal (indirectly, implicitly) | to show (interest, contempt etc) by means of one's actions, tone of voice etc"
流氓,7,5202,noun,liú máng,rogue | hoodlum | gangster | immoral behavior
流入,7,13234,verb,liú rù,to flow into | to drift into
流失,7,11192,verb,liú shī,(of soil etc) to wash away | to be eroded | to fail to be retained
流水,7,10995,noun,liú shuǐ,running water | (business) turnover
流淌,7,12874,verb,liú tǎng,to flow
流通,5,8541,verb,liú tōng,to circulate; to distribute
流向,7,14722,noun,liú xiàng,direction of a current | direction of flow
流行,2,2724,adjective,liú xíng,"(of a contagious disease etc) to spread | (of a style of clothing, song etc) popular | fashionable"
流血,7,6486,verb,liú xuè,to bleed | to shed blood
流域,7,20502,noun,liú yù,river basin | valley | drainage area
流转,7,20716,verb,liú zhuǎn,to be on the move | to roam or wander | to circulate (of goods or capital)
