word,level,frequency_ranking,pos,pinyin,definitions
必不可少,7,15604,adverb,bì bù kě shǎo,absolutely necessary
必定,7,8680,verb,bì dìng,to be bound to | to be sure to
必将,6,10072,adverb,bì jiāng,inevitably
必然,3,5199,noun,bì rán,inevitable | necessity
必修,6,39363,adjective,bì xiū,(of an academic course) required | compulsory
必须,2,241,verb,bì xū,to have to
必需,5,7251,verb,bì xū,to need | to require
必要,3,1191,noun,bì yào,necessary | essential | indispensable | required
毕竟,5,2477,adverb,bì jìng,after all | all in all
毕业,4,1755,noun,bì yè,graduation
毕业生,4,6344,noun,bì yè shēng,graduate
闭,6,2503,verb,bì,to close | to stop up | to shut | to obstruct
闭幕,5,26178,noun,bì mù,the curtain falls | lower the curtain
闭幕式,5,34114,noun,bì mù shì,closing ceremony
闭塞,6,25567,verb,bì sè,to stop up | to close up
弊病,7,34995,noun,bì bìng,malady | evil | malpractice | drawback | disadvantage
弊端,7,19905,noun,bì duān,systemic problem (sometimes refers specifically to corrupt practices)
碧绿,7,33401,noun,bì lu:4,dark green
碧玉,6,64483,noun,bì yù,jasper
壁画,7,16718,noun,bì huà,mural (painting) | fresco
避,4,6063,verb,bì,to avoid | to shun | to flee | to escape | to keep away from | to leave | to hide from
避免,4,2140,verb,bì miǎn,to avert | to prevent | to avoid | to refrain from
避难,7,17616,noun,bì nàn,refuge
避暑,7,23952,verb,bì shǔ,to be away for the summer holidays | to spend a holiday at a summer resort | to prevent sunstroke
臂,6,7284,noun,bì,arm
边,2,803,noun,biān | bian,side | edge | margin | border | boundary | suffix of a noun of locality
边疆,7,28113,noun,biān jiāng,border area | borderland | frontier | frontier region
边界,7,7042,noun,biān jiè,boundary | border
边境,5,5914,noun,biān jìng,frontier; border
边缘,6,4635,noun,biān yuán,edge; fringe; verge; brink; periphery
边远,7,26329,adjective,biān yuǎn,far from the center | remote | outlying
编,4,1875,verb,biān,to weave | to plait | to organize | to group | to arrange | to edit | to compile | to write | to compose | to fabricate | to make up
编号,7,7219,verb,biān hào,to number
编辑,5,2447,verb,biān jí,to edit | to compile
编剧,7,7362,verb,biān jù,to write a play
编排,7,10560,verb,biān pái,to arrange | to lay out
编写,7,11845,verb,biān xiě,to compile
编造,7,12743,verb,biān zào,to compile | to draw up | to fabricate | to invent | to concoct | to make up | to cook up
编织,6,13145,verb,biān zhī,to weave; to knit; to plait; to braid
编制,6,12038,verb,biān zhì,"to establish (a unit or department) | to weave | to plait | to compile | to put together (a lesson plan, budget etc)"
鞭策,7,24553,verb,biān cè,to spur on | to urge on | to encourage sb (e.g. to make progress)
鞭炮,7,17033,noun,biān pào,firecrackers | string of small firecrackers
贬低,6,17829,verb,biǎn dī,to belittle | to disparage | to play down | to demean | to degrade | to devalue
