id,word,level,difficulty,pos,pinyin,definitions
8716,文盲,7,15821,noun,wénmáng,illiterate (person unable to read) | illiteracy (inability to read)
1756,地域,7,10905,noun,dìyù,area; district; geographic region | locality
1756,地域,7,10905,adjective,dìyù,regional
1750,地位,4,2771,noun,dìwèi,"position (in society, the world, etc.); standing; status | location; position; place"
1751,地下,4,2908,noun,dìxià | dìxia,underground | basement (floor) | underworld | on the ground; on the floor | ground; floor | ground floor
1751,地下,4,2908,adjective,dìxià,underground; secretive
5960,男子,3,2377,noun,nánzǐ,man; male | son
10959,治安,5,3402,noun,zhì'ān,public security; public order; the peace
1739,地理,7,6677,noun,dìlǐ,geography | geographical features; topography | address | feng shui | terrestrial organization
1739,地理,7,6677,adjective,dìlǐ,geographical
10881,直线,5,8100,noun,zhíxiàn,straight line
10881,直线,5,8100,adjective,zhíxiàn,straight; direct | steep; sharp
7409,失败,4,1588,verb,shībài,to be defeated | to fail; to come to nothing; to fall through
7409,失败,4,1588,noun,shībài,failure; defeat
7409,失败,4,1588,adjective,shībài,failed; unsuccessful | failed (of a state)
1791,登山,4,11767,verb,dēngshān,to climb a mountain
1791,登山,4,11767,noun,dēngshān,mountain climbing; mountaineering
27,爱情,2,1164,noun,àiqíng,love (of a romantic nature)
8754,握手,3,6920,verb,wòshǒu,to shake hands | to handshake
11400,足迹,7,11803,noun,zújì,footprint; footmark; track
3983,家具,3,4188,noun,jiājù,furniture
8661,委员,7,7019,noun,wěiyuán,committee member
9980,意义,3,807,noun,yìyì,meaning; sense | significance; importance; value
9961,异议,7,9182,noun,yìyì,objection; dissent; dissenting view
9970,意见,2,995,noun,yìjiàn,opinion; idea; proposal; suggestion; view; advice | objection; different opinion; bone to pick
9982,意志,5,4774,noun,yìzhì,will; determination; volition; intent
9974,意思,2,988,noun,yìsi,"meaning (of words, symbols, or concepts); significance | interest; fun | hint; trace; sign; indicator | opinion; view | token of appreciation | friendship; camaraderie"
8647,维持,4,2514,verb,wéichí,to maintain; to keep; to preserve; to uphold | to support | to protect
9943,椅子,2,4472,noun,yǐzi,chair
9957,异常,6,2505,adjective,yìcháng,abnormal; unusual; extraordinary; bizarre; out of the ordinary
9957,异常,6,2505,adverb,yìcháng,extremely; particularly; exceedingly
9957,异常,6,2505,noun,yìcháng,abnormality | exception
9932,以上,2,2124,noun,yǐshàng,above; more than; over | greater than or equal to | above-mentioned; above
9932,以上,2,2124,idiom,yǐshàng,that's it; that's all (used at the end of a text to indicate that there is nothing further)
9973,意识,5,1263,noun,yìshí,consciousness; awareness; the mind; mentality; sense
9973,意识,5,1263,verb,yìshí,to be conscious of; to be aware of; to awake to; to realize
9931,以前,2,524,noun,yǐqián,earlier times; formerly; previously
9891,依然,4,1943,adverb,yīrán,as it was before; still
9891,依然,4,1943,adjective,yīrán,reluctant to part
9791,一度,7,8225,noun,yīdù,once (one time) | unison (interval)
9791,一度,7,8225,adverb,yīdù,once (at some time in the past) | most
9791,一度,7,8225,adjective,yīdù,best; top
9819,一流,5,5035,adjective,yīliú,first-class; first-rate
9819,一流,5,5035,noun,yīliú,the same kind
9837,一生,2,1626,noun,yīshēng,lifetime; all one's life; one's whole life
9872,一致,4,1957,adjective,yīzhì,in agreement; identical; in unanimity; in chorus; consistent; same
9872,一致,4,1957,adverb,yīzhì,unanimously; without exception; consistently
9872,一致,4,1957,verb,yīzhì,to agree with; to be consistent with
9872,一致,4,1957,noun,yīzhì,agreement; coincidence; unanimity; consistency | agreement; grammatical agreement; concord
9901,移动,4,1997,adjective,yídòng,mobile; movable
9901,移动,4,1997,verb,yídòng,to move; to shift; to transfer
8640,违反,5,3160,verb,wéifǎn,to violate; to run counter to; to transgress; to infringe; to breach; to break; to go against
9874,衣服,1,1472,noun,yīfu,clothing; clothes; laundry | upper outer garment; jacket; coat | ecstasy; MDMA
9874,衣服,1,1472,verb,yīfu,to put on clothes
4380,姐妹,4,3183,noun,jiěmèi,elder sister and younger sister; sisters | term to address fellow/peer-netizens on social media platforms | gay
6556,前天,1,8117,noun,qiántiān,day before yesterday
11452,昨天,1,557,noun,zuótiān,yesterday
5828,明天,1,469,noun,míngtiān,tomorrow | (near) future
109,白天,1,3645,noun,báitiān,daytime; day
6079,牛奶,1,2986,noun,niúnǎi,cow's milk | condensed milk
1526,大家,2,189,pronoun,dàjiā,everyone; everybody; all of us
1526,大家,2,189,noun,dàjiā | dàgū,residence of members of the nobility | master (as used by a servant) | emperor (as used by his consort) | rich and powerful family; old and well-known family | master; great expert | mother-in-law (husband's mother)
5616,毛衣,4,5546,noun,máoyī,sweater; wool sweater; pullover
1488,打算,2,1374,verb,dǎsuàn,to plan; to intend
1488,打算,2,1374,noun,dǎsuàn,plan; intention
2363,放假,1,6177,verb,fàngjià,to have time off; to go on holidays
7007,容易,3,664,adjective,róngyì,easy; simple | likely; liable; prone | having an easy life | rash; hasty; careless; flippant | impudent; wanton; unbridled | negligent; careless
6694,清楚,2,766,adjective,qīngchu,clear; lucid | clear (about a matter); unambiguous | plain; distinct; obvious | tidy; neat; refined | pure; innocent
6694,清楚,2,766,adverb,qīngchu,"clearly | until a matter is clear (making sense, unambiguous, etc.)"
6694,清楚,2,766,verb,qīngchu,to understand; to know; to comprehend
10040,印刷,5,8873,verb,yìnshuā,to print (to produce one or more copies of a text or image on a surface by machine)
10042,印象,3,2109,noun,yìnxiàng,impression (feeling left on someone about someone or something) | memory (a recollection)
